id,iters,subiters,runtime,cviolation,rank
1,9,11565,2.049733877182007,9.546799084603208e-7,3
2,8,9400,1.7769370079040527,3.750401589286412e-7,4
3,11,12916,2.6384458541870117,2.583239187003983e-7,4
4,5,11154,1.818532943725586,6.278263153802754e-7,4
5,7,8536,1.4808030128479004,8.982756867226271e-7,3
6,5,9146,1.665297031402588,4.4424954737110056e-7,4
7,6,12291,2.0534629821777344,3.6108608014728816e-7,4
8,9,10468,1.8795218467712402,3.732758333541142e-7,3
9,5,8881,1.4893500804901123,7.81149614326182e-7,3
10,7,10329,1.778791904449463,8.929731940554575e-7,3
11,6,14554,2.527359962463379,2.7215721232209944e-7,3
12,9,13722,2.3431460857391357,5.006807022311932e-7,4
13,4,6989,1.1824891567230225,2.972032504544586e-7,4
14,5,11427,1.8696420192718506,4.45598038467665e-7,3
15,7,10480,1.7939980030059814,4.852377522013285e-7,3
16,8,56787,8.646403074264526,3.722165544672862e-7,3
17,12,19449,3.2615339756011963,7.557636756416741e-7,3
18,6,7102,1.272799015045166,7.895219606979254e-7,4
19,7,7322,1.2871520519256592,2.3020877648605165e-7,3
20,7,16358,2.584601879119873,4.464098388723414e-7,4
