id,iters,subiters,runtime,cviolation,rank
1,5,17266,2.4523279666900635,6.40590183564882e-7,6
2,5,10257,1.458575963973999,4.933239292626013e-7,5
3,6,8238,1.1674389839172363,7.958291980969534e-7,6
4,5,15020,2.078171968460083,2.927391182794281e-7,6
5,5,17926,2.479200839996338,6.469186502044977e-7,6
6,6,8684,1.2481789588928223,9.485072318682342e-7,4
7,5,9968,1.4567251205444336,5.511119205436898e-7,5
8,5,12303,1.7464079856872559,8.633108379285659e-7,5
9,4,33339,4.541999101638794,5.537675722422364e-7,6
10,4,55912,7.70543098449707,5.818415189651205e-7,5
11,4,12897,1.821714162826538,2.0391355093352104e-7,4
12,5,19595,2.7600650787353516,4.376173201592337e-7,5
13,4,10344,1.4749059677124023,1.298617746670061e-7,5
14,4,14722,2.073399066925049,1.936716227390889e-7,4
15,6,53003,7.400036811828613,2.7334049335081545e-7,5
16,5,16859,2.311105966567993,1.5399125885551257e-7,8
17,5,11545,1.6331191062927246,7.667417492029927e-7,5
18,4,5436,0.775015115737915,2.3103203616869905e-7,6
19,5,17593,2.4537088871002197,5.254444666036306e-7,5
20,6,12636,1.7436449527740479,5.744733968526816e-7,7
