id,iters,subiters,runtime,cviolation,rank
1,5,2893,0.21151208877563477,1.4311056872884365e-7,3
2,6,10048,0.7218339443206787,3.4214573219060185e-7,4
3,5,16600,1.174422025680542,5.548195360915997e-7,6
4,5,3331,0.25439906120300293,7.702404367648796e-7,4
5,5,2554,0.20039606094360352,2.1131624450276831e-7,4
6,4,2631,0.20862102508544922,7.536507773409085e-8,3
7,7,5586,0.43017101287841797,6.25569292367345e-7,3
8,6,2381,0.19250798225402832,6.14265175613582e-7,3
9,7,3058,0.2433481216430664,3.260200287513726e-7,3
10,5,3156,0.2374260425567627,6.775336132136545e-7,3
11,4,3990,0.2911570072174072,4.973462637281045e-7,4
12,5,3366,0.2566351890563965,5.561340898907474e-7,3
13,4,3460,0.25832509994506836,9.944135506145813e-7,4
14,6,3161,0.24335384368896484,2.768049114365567e-7,3
15,5,4847,0.34780097007751465,1.2183091335771223e-7,4
16,7,4454,0.34207892417907715,6.668903438367124e-7,4
17,5,3547,0.2668590545654297,2.2453088721618997e-7,4
18,4,2502,0.17990899085998535,6.865271107159288e-7,4
19,4,3258,0.24666595458984375,7.685585057259914e-7,3
20,8,2437,0.20225214958190918,2.1288256846219156e-7,3
