id,xinit_1,xinit_2,xfinal_1,xfinal_2,iters,sub_iters,runtime
1,-5.0,-5.0,0.0,-4.5031334990547e-8,4,12030,0.09185314178466797
2,-4.5,-5.0,0.0,-4.14262083438446e-8,4,7308,0.07983088493347168
3,-4.0,-5.0,0.0,-3.753360928300236e-8,4,4052,0.030833005905151367
4,-3.5,-5.0,0.0,-4.0579884273411395e-8,4,3091,0.02446293830871582
5,-3.0,-5.0,0.0,-4.0543401525443905e-8,4,2105,0.016436100006103516
6,-2.5,-5.0,0.0,-3.965085956936743e-8,4,1374,0.010863065719604492
7,-2.0,-5.0,0.0,-3.9919159692074466e-8,4,895,0.00705409049987793
8,-1.5,-5.0,0.0,-4.043758323077171e-8,4,345,0.0028340816497802734
9,-1.0,-5.0,0.0,-3.818253619170473e-8,4,364,0.0030379295349121094
10,-0.5,-5.0,0.0,-3.821592158254556e-8,4,516,0.004148960113525391
11,0.0,-5.0,0.0,-3.9904024265144896e-8,4,797,0.006350994110107422
12,0.5,-5.0,0.0,-3.997804751389564e-8,4,1206,0.009482860565185547
13,1.0,-5.0,0.0,-4.069681046031157e-8,4,1742,0.013692855834960938
14,1.5,-5.0,0.0,-4.0631278446042e-8,4,2406,0.01868605613708496
15,2.0,-5.0,0.0,-4.108707707562002e-8,4,3197,0.024726152420043945
16,2.5,-5.0,0.0,-3.529806145354866e-8,4,4035,0.031278133392333984
17,3.0,-5.0,0.0,-4.1234108767075365e-8,4,6121,0.04717397689819336
18,3.5,-5.0,0.0,-4.103139281219372e-8,4,4119,0.03189706802368164
19,4.0,-5.0,0.0,-3.577004222517973e-8,4,4137,0.03165102005004883
20,4.5,-5.0,0.0,-3.695472046210313e-8,4,4239,0.032833099365234375
21,5.0,-5.0,0.0,-3.7448565496247676e-8,4,4366,0.034559011459350586
22,-5.0,-4.5,0.0,-4.220978675058031e-8,4,12008,0.12003803253173828
23,-4.5,-4.5,0.0,-4.1445088539648926e-8,4,6832,0.05230093002319336
24,-4.0,-4.5,0.0,-3.7796701291961575e-8,4,4044,0.03130602836608887
25,-3.5,-4.5,0.0,-4.102064826409587e-8,4,2999,0.023832082748413086
26,-3.0,-4.5,0.0,-4.058685847285759e-8,4,2016,0.01606893539428711
27,-2.5,-4.5,0.0,-3.9765586271666806e-8,4,1287,0.010306835174560547
28,-2.0,-4.5,0.0,-4.0914818803285966e-8,4,809,0.006738901138305664
29,-1.5,-4.5,0.0,-3.9939576979735405e-8,4,302,0.0025849342346191406
30,-1.0,-4.5,0.0,-4.04277856806285e-8,4,320,0.0026099681854248047
31,-0.5,-4.5,0.0,-3.961643515244087e-8,4,472,0.0037560462951660156
32,0.0,-4.5,0.0,-3.8880944782000336e-8,4,753,0.005892038345336914
33,0.5,-4.5,0.0,-4.1009632459140995e-8,4,1160,0.009077072143554688
34,1.0,-4.5,0.0,-4.038204734774845e-8,4,1695,0.013361930847167969
35,1.5,-4.5,0.0,-4.0118611067147374e-8,4,2357,0.018450021743774414
36,2.0,-4.5,0.0,-4.079412082599526e-8,4,3145,0.02421402931213379
37,2.5,-4.5,0.0,-3.8796911790880627e-8,4,4030,0.03109002113342285
38,3.0,-4.5,0.0,-4.09397990595191e-8,4,7018,0.05361008644104004
39,3.5,-4.5,0.0,-4.1416507053202204e-8,4,4073,0.031336069107055664
40,4.0,-4.5,0.0,-4.049557108345556e-8,4,4167,0.03264188766479492
41,4.5,-4.5,0.0,-3.826377392255155e-8,4,4271,0.035317182540893555
42,5.0,-4.5,0.0,-4.067010308570714e-8,4,4353,0.03703594207763672
43,-5.0,-4.0,0.0,-4.1801656434899216e-8,4,11384,0.10898709297180176
44,-4.5,-4.0,0.0,-4.121162698908766e-8,4,6412,0.04961204528808594
45,-4.0,-4.0,0.0,-3.645584235224909e-8,4,4037,0.031044960021972656
46,-3.5,-4.0,0.0,-4.0660916638781985e-8,4,2909,0.022452116012573242
47,-3.0,-4.0,0.0,-4.011414623335992e-8,4,1928,0.0151519775390625
48,-2.5,-4.0,0.0,-4.0899796475123237e-8,4,1200,0.009582042694091797
49,-2.0,-4.0,0.0,-4.095826969847583e-8,4,724,0.0056569576263427734
50,-1.5,-4.0,0.0,-3.9049443671935163e-8,4,498,0.003972053527832031
51,-1.0,-4.0,0.0,-3.794280337986304e-8,4,277,0.002279996871948242
52,-0.5,-4.0,0.0,-3.613142318921191e-8,4,429,0.0035049915313720703
53,0.0,-4.0,0.0,-4.074636494681748e-8,4,708,0.005527019500732422
54,0.5,-4.0,0.0,-4.08603944504286e-8,4,1114,0.008771896362304688
55,1.0,-4.0,0.0,-4.1052114818936844e-8,4,1646,0.012814998626708984
56,1.5,-4.0,0.0,-4.018896908733916e-8,4,2305,0.017963886260986328
57,2.0,-4.0,0.0,-4.052356813154872e-8,4,3089,0.023730993270874023
58,2.5,-4.0,0.0,-4.9789593793234904e-8,4,15706,0.12304902076721191
59,3.0,-4.0,0.0,-3.60808828812933e-8,4,4073,0.03412199020385742
60,3.5,-4.0,0.0,-3.76029998196368e-8,4,4100,0.052114009857177734
61,4.0,-4.0,0.0,-3.8898968248483216e-8,4,4191,0.032037973403930664
62,4.5,-4.0,0.0,-3.9756249408367546e-8,4,4259,0.03296685218811035
63,5.0,-4.0,0.0,-3.721534542461362e-8,4,4342,0.03406214714050293
64,-5.0,-3.5,0.0,-4.1605228076438206e-8,4,10690,0.08217692375183105
65,-4.5,-3.5,0.0,-4.124742439675849e-8,4,6069,0.046630144119262695
66,-4.0,-3.5,0.0,-3.824407728177308e-8,4,4030,0.031069040298461914
67,-3.5,-3.5,0.0,-4.098341160988105e-8,4,2822,0.021766185760498047
68,-3.0,-3.5,0.0,-4.08467139710495e-8,4,1841,0.014420032501220703
69,-2.5,-3.5,0.0,-4.0237672971064836e-8,4,1115,0.008831977844238281
70,-2.0,-3.5,0.0,-4.0951072248231684e-8,4,640,0.005042076110839844
71,-1.5,-3.5,0.0,-4.012314565806575e-8,4,413,0.003298044204711914
72,-1.0,-3.5,0.0,-4.098285798792846e-8,4,233,0.0019369125366210938
73,-0.5,-3.5,0.0,-3.849626866982207e-8,4,385,0.0031080245971679688
74,0.0,-3.5,0.0,-3.771155995851408e-8,4,664,0.005296945571899414
75,0.5,-3.5,0.0,-3.978370931368297e-8,4,1067,0.008283853530883789
76,1.0,-3.5,0.0,-4.010300383362032e-8,4,1595,0.012441873550415039
77,1.5,-3.5,0.0,-4.0589000764722395e-8,4,2247,0.017683029174804688
78,2.0,-3.5,0.0,-4.168312411038796e-8,4,11537,0.09657001495361328
79,2.5,-3.5,0.0,-4.125430132622944e-8,4,7514,0.07610583305358887
80,3.0,-3.5,0.0,-3.657928271352374e-8,4,4114,0.0319669246673584
81,3.5,-3.5,0.0,-4.1056540562149675e-8,4,4124,0.032813072204589844
