id,iters,subiters,runtime,cviolation,rank
1,4,15516,4.056558132171631,9.6048832531892e-7,4
2,8,22813,5.88061785697937,7.444064209494172e-7,4
3,8,26457,6.896131992340088,3.576777025671163e-7,4
4,7,40882,10.21971607208252,8.48294348543277e-7,5
5,18,76497,19.575448036193848,1.6325474305745047e-7,4
6,24,69074,17.633584022521973,6.729640702474171e-7,4
7,7,18039,4.705610036849976,9.511808336526428e-7,4
8,9,25926,6.789397954940796,8.37378784979137e-7,4
9,9,15396,4.112523078918457,8.041252179680214e-7,4
10,12,38933,10.103141784667969,7.689770882279845e-7,4
11,7,15643,4.108705997467041,6.14164953560703e-7,4
12,8,16786,4.421336889266968,5.680031733845681e-7,4
13,7,28384,7.198667049407959,7.813393594346962e-7,4
14,14,36173,9.265298843383789,9.528620736887206e-7,4
15,4,27520,7.05624794960022,8.142756939832907e-7,4
16,8,23074,5.979902982711792,9.309264683565743e-7,4
17,11,19216,5.155431032180786,4.891165783504903e-7,4
18,14,53657,13.388273000717163,8.816106635833876e-7,4
19,6,45851,11.552664995193481,7.051642398892e-7,4
20,5,8460,2.2792320251464844,8.390030217242384e-7,4
