id,iters,subiters,runtime,cviolation,rank
1,4,414,0.13012218475341797,2.4789662944613156e-7,14
2,4,323,0.07016706466674805,4.1382897464359303e-7,14
3,4,225,0.07301998138427734,5.509146632221018e-7,15
4,4,228,0.06853103637695312,1.6005842518040936e-7,15
5,4,347,0.0864109992980957,5.024009297471821e-7,14
6,4,281,0.0630028247833252,8.622853684414622e-7,14
7,4,363,0.0926659107208252,5.260178497223933e-7,14
8,4,410,0.09113001823425293,7.65935393332029e-7,15
9,4,453,0.09014606475830078,2.1901769287069328e-7,14
10,5,331,0.0887148380279541,2.9612782803667415e-7,15
11,4,340,0.07465100288391113,1.4692068006638692e-7,14
12,4,337,0.08852696418762207,9.149166864119707e-7,15
13,4,224,0.058080196380615234,1.5046187051837023e-7,14
14,4,279,0.06096911430358887,1.6739898889284177e-7,15
15,4,565,0.1042628288269043,6.384059325625913e-7,14
16,4,394,0.09449005126953125,3.1450909077079814e-7,15
17,4,303,0.07264018058776855,4.3670168281551014e-7,15
18,4,261,0.059133052825927734,1.4474998621949453e-7,14
19,4,459,0.10652399063110352,3.4129705284158263e-7,15
20,4,328,0.0857689380645752,2.8646850402935797e-7,15
