id,xinit_1,xinit_2,xfinal_1,xfinal_2,iters,sub_iters,runtime
1,-5.0,-5.0,0.0,-4.108272268832981e-8,4,7582,0.05979609489440918
2,-4.5,-5.0,0.0,-4.0996888653913866e-8,4,5829,0.046510934829711914
3,-4.0,-5.0,0.0,-4.0879582444413146e-8,4,4332,0.03381204605102539
4,-3.5,-5.0,0.0,-4.0579884273411395e-8,4,3091,0.02454686164855957
5,-3.0,-5.0,0.0,-4.0543401525443905e-8,4,2105,0.01740097999572754
6,-2.5,-5.0,0.0,-3.965085956936743e-8,4,1374,0.011238813400268555
7,-2.0,-5.0,0.0,-3.9919159692074466e-8,4,895,0.028680086135864258
8,-1.5,-5.0,0.0,-4.043758323077171e-8,4,345,0.0028040409088134766
9,-1.0,-5.0,0.0,-3.818253619170473e-8,4,364,0.0029060840606689453
10,-0.5,-5.0,0.0,-3.821592158254556e-8,4,516,0.004111051559448242
11,0.0,-5.0,0.0,-3.9904024265144896e-8,4,797,0.006247997283935547
12,0.5,-5.0,0.0,-3.997804751389564e-8,4,1206,0.009361028671264648
13,1.0,-5.0,0.0,-4.069681046031157e-8,4,1742,0.013520002365112305
14,1.5,-5.0,0.0,-4.0631278446042e-8,4,2406,0.018597126007080078
15,2.0,-5.0,0.0,-4.108707707562002e-8,4,3197,0.024796009063720703
16,2.5,-5.0,0.0,-4.11636646214459e-8,4,4116,0.03215909004211426
17,3.0,-5.0,0.0,-4.1063831228292835e-8,4,5163,0.039835214614868164
18,3.5,-5.0,0.0,-4.9981447896931244e-8,4,38508,0.3282661437988281
19,4.0,-5.0,0.0,-3.530549224623075e-8,4,10078,0.07644987106323242
20,4.5,-5.0,0.0,-3.6609552002841754e-8,4,10109,0.07953214645385742
21,5.0,-5.0,0.0,-4.106705231807218e-8,4,10188,0.08143091201782227
22,-5.0,-4.5,0.0,-4.1035550703079334e-8,4,7481,0.06166887283325195
23,-4.5,-4.5,0.0,-4.0775098816045475e-8,4,5732,0.06405520439147949
24,-4.0,-4.5,0.0,-4.071334643626005e-8,4,4238,0.03261089324951172
25,-3.5,-4.5,0.0,-4.102064826409587e-8,4,2999,0.02352595329284668
26,-3.0,-4.5,0.0,-4.058685847285759e-8,4,2016,0.016244888305664062
27,-2.5,-4.5,0.0,-3.9765586271666806e-8,4,1287,0.010107040405273438
28,-2.0,-4.5,0.0,-4.0914818803285966e-8,4,809,0.006376028060913086
29,-1.5,-4.5,0.0,-3.9939576979735405e-8,4,302,0.002450227737426758
30,-1.0,-4.5,0.0,-4.04277856806285e-8,4,320,0.0026311874389648438
31,-0.5,-4.5,0.0,-3.961643515244087e-8,4,472,0.003779172897338867
