id,iters,subiters,runtime,cviolation,rank
1,4,309,0.10533690452575684,3.401287087534399e-7,4
2,4,591,0.18406414985656738,1.891100218642805e-7,4
3,4,704,0.19429802894592285,3.368999514918869e-7,4
4,4,348,0.11120200157165527,3.2674584254932526e-7,5
5,4,865,0.24574613571166992,2.931782274728789e-7,4
6,5,1764,0.4674110412597656,8.306207028851986e-7,4
7,4,872,0.2436990737915039,5.053875309357636e-7,4
8,4,441,0.13705992698669434,2.705403527869521e-7,4
9,4,430,0.14480304718017578,4.3957052220378046e-7,4
10,4,800,0.2265310287475586,2.653017212583819e-7,4
11,4,541,0.17217803001403809,3.1673526201814184e-7,4
12,4,595,0.1855449676513672,2.99329698361106e-7,4
13,4,469,0.1376497745513916,3.897633860105998e-7,4
14,5,1688,0.4467799663543701,8.785617557904857e-7,4
15,4,459,0.1425778865814209,8.75975679770491e-7,4
16,4,979,0.26978397369384766,2.5673287495919794e-7,4
17,4,468,0.1432499885559082,5.294882634565568e-7,4
18,4,1117,0.2996840476989746,1.6085935927723227e-7,4
19,4,488,0.16201400756835938,1.817143604476712e-7,4
20,4,432,0.14816689491271973,3.2832672502980387e-7,4
