id,xinit_1,xinit_2,xfinal_1,xfinal_2,iters,sub_iters,runtime
1,-5.0,-5.0,0.0,-3.9726996208855965e-8,4,10035,0.0975179672241211
2,-4.5,-5.0,0.0,-4.112007401483522e-8,4,5273,0.041152000427246094
3,-4.0,-5.0,0.0,-4.0879582444413146e-8,4,4332,0.03890109062194824
4,-3.5,-5.0,0.0,-4.0579884273411395e-8,4,3091,0.024085044860839844
5,-3.0,-5.0,0.0,-4.0543401525443905e-8,4,2105,0.01635909080505371
6,-2.5,-5.0,0.0,-3.965085956936743e-8,4,1374,0.01081705093383789
7,-2.0,-5.0,0.0,-3.9919159692074466e-8,4,895,0.007174015045166016
8,-1.5,-5.0,0.0,-4.043758323077171e-8,4,345,0.0028319358825683594
9,-1.0,-5.0,0.0,-3.818253619170473e-8,4,364,0.00302886962890625
10,-0.5,-5.0,0.0,-3.821592158254556e-8,4,516,0.004316091537475586
11,0.0,-5.0,0.0,-3.9904024265144896e-8,4,797,0.006710052490234375
12,0.5,-5.0,0.0,-3.997804751389564e-8,4,1206,0.00989985466003418
13,1.0,-5.0,0.0,-4.069681046031157e-8,4,1742,0.014142990112304688
14,1.5,-5.0,0.0,-4.0631278446042e-8,4,2406,0.01970815658569336
15,2.0,-5.0,0.0,-4.108707707562002e-8,4,3197,0.025777101516723633
16,2.5,-5.0,0.0,-4.11636646214459e-8,4,4116,0.03378891944885254
17,3.0,-5.0,0.0,-3.9150500085409684e-8,4,5036,0.042289018630981445
18,3.5,-5.0,0.0,-3.634882438768922e-8,4,5104,0.04293012619018555
19,4.0,-5.0,0.0,-3.9252940472526986e-8,4,5108,0.06414413452148438
20,4.5,-5.0,0.0,-4.1125014826905264e-8,4,5204,0.0398099422454834
21,5.0,-5.0,0.0,-4.000361064466589e-8,4,5309,0.041728973388671875
22,-5.0,-4.5,0.0,-4.012666557466815e-8,4,10022,0.07718396186828613
23,-4.5,-4.5,0.0,-4.005380507195335e-8,4,5138,0.0401759147644043
24,-4.0,-4.5,0.0,-4.071334643626005e-8,4,4238,0.03417491912841797
25,-3.5,-4.5,0.0,-4.102064826409587e-8,4,2999,0.02453303337097168
26,-3.0,-4.5,0.0,-4.058685847285759e-8,4,2016,0.01649785041809082
27,-2.5,-4.5,0.0,-3.9765586271666806e-8,4,1287,0.010529041290283203
28,-2.0,-4.5,0.0,-4.0914818803285966e-8,4,809,0.006705045700073242
29,-1.5,-4.5,0.0,-3.9939576979735405e-8,4,302,0.002686023712158203
30,-1.0,-4.5,0.0,-4.04277856806285e-8,4,320,0.0027930736541748047
31,-0.5,-4.5,0.0,-3.961643515244087e-8,4,472,0.0040340423583984375
32,0.0,-4.5,0.0,-3.8880944782000336e-8,4,753,0.006392002105712891
33,0.5,-4.5,0.0,-4.1009632459140995e-8,4,1160,0.0099029541015625
34,1.0,-4.5,0.0,-4.038204734774845e-8,4,1695,0.014439105987548828
35,1.5,-4.5,0.0,-4.0118611067147374e-8,4,2357,0.01996588706970215
36,2.0,-4.5,0.0,-4.079412082599526e-8,4,3145,0.026605844497680664
37,2.5,-4.5,0.0,-4.0613002189010725e-8,4,4061,0.056584835052490234
38,3.0,-4.5,0.0,-4.359475872444533e-8,5,20020,0.16141796112060547
39,3.5,-4.5,0.0,-3.9560499908608294e-8,4,5116,0.04139900207519531
40,4.0,-4.5,0.0,-3.918065768615527e-8,4,5138,0.04078197479248047
41,4.5,-4.5,0.0,-3.569049093233654e-8,4,5228,0.04264998435974121
42,5.0,-4.5,0.0,-4.051211679957591e-8,4,5296,0.043267011642456055
43,-5.0,-4.0,0.0,-4.1422791630152394e-8,4,9775,0.08167314529418945
44,-4.5,-4.0,0.0,-3.990361417331552e-8,4,5087,0.06152796745300293
45,-4.0,-4.0,0.0,-4.099329789671268e-8,4,4145,0.03176307678222656
46,-3.5,-4.0,0.0,-4.0660916638781985e-8,4,2909,0.023220062255859375
47,-3.0,-4.0,0.0,-4.011414623335992e-8,4,1928,0.015175819396972656
48,-2.5,-4.0,0.0,-4.0899796475123237e-8,4,1200,0.009473085403442383
49,-2.0,-4.0,0.0,-4.095826969847583e-8,4,724,0.005959987640380859
50,-1.5,-4.0,0.0,-3.9049443671935163e-8,4,498,0.00398707389831543
51,-1.0,-4.0,0.0,-3.794280337986304e-8,4,277,0.002351045608520508
52,-0.5,-4.0,0.0,-3.613142318921191e-8,4,429,0.0036470890045166016
53,0.0,-4.0,0.0,-4.074636494681748e-8,4,708,0.005918979644775391
54,0.5,-4.0,0.0,-4.08603944504286e-8,4,1114,0.008733034133911133
55,1.0,-4.0,0.0,-4.1052114818936844e-8,4,1646,0.013150930404663086
56,1.5,-4.0,0.0,-4.018896908733916e-8,4,2305,0.01861095428466797
57,2.0,-4.0,0.0,-4.052356813154872e-8,4,3089,0.02383899688720703
58,2.5,-4.0,0.0,-4.949679686693763e-8,4,16229,0.1286759376525879
