id,iters,subiters,runtime,cviolation,rank
1,4,85,0.048501014709472656,3.659108571696379e-8,6
2,4,107,0.03936004638671875,5.367673328038336e-8,5
3,4,103,0.039517879486083984,2.29601768708676e-8,6
4,4,94,0.03889203071594238,4.9289174519628887e-8,6
5,4,86,0.03189206123352051,3.476562593363042e-8,6
6,4,193,0.04870486259460449,9.686559376831383e-8,4
7,4,131,0.03999590873718262,8.657963412872505e-8,5
8,4,120,0.05046200752258301,7.693242309869675e-8,5
9,4,86,0.03727412223815918,2.6067683123187635e-8,6
10,4,131,0.036828041076660156,1.300168310791605e-7,5
11,4,130,0.043443918228149414,3.553429461788937e-8,4
12,4,142,0.04161500930786133,7.58751887985909e-8,5
13,4,120,0.05266714096069336,5.6061375985905215e-8,5
14,4,137,0.05867505073547363,8.130085404900456e-8,4
15,4,117,0.041224002838134766,6.537487529101327e-8,5
16,4,89,0.0342559814453125,2.9607996943070702e-8,7
17,4,126,0.052124977111816406,4.3826272277947e-8,5
18,4,186,0.04640388488769531,3.503943979410451e-8,5
19,4,91,0.038017988204956055,9.35238895216628e-8,5
20,4,134,0.042160987854003906,4.4678346355908616e-8,7
