id,iters,subiters,runtime,cviolation,rank
1,4,61,0.03228116035461426,7.902592424890997e-8,3
2,4,92,0.018097877502441406,3.522802849431628e-8,4
3,4,70,0.013809919357299805,6.217131076624582e-8,4
4,4,103,0.016323089599609375,2.3871658405560936e-7,3
5,4,65,0.01498103141784668,2.506023299986282e-8,4
6,4,64,0.014210939407348633,5.6982449869735774e-8,3
7,4,102,0.01724386215209961,1.3969537659974662e-7,3
8,4,90,0.015944957733154297,4.7421325977126116e-8,3
9,4,161,0.02202296257019043,1.8224508502306946e-7,3
10,4,78,0.015681982040405273,6.56628837969464e-8,3
11,4,57,0.014764785766601562,4.76232786539299e-8,4
12,4,81,0.017782926559448242,4.53581043835527e-8,3
13,4,63,0.01497793197631836,3.7144811670941635e-8,4
14,4,73,0.014487028121948242,8.586220445749859e-8,3
15,4,53,0.014669179916381836,1.9607997892023832e-8,4
16,4,61,0.014887094497680664,4.737523795483867e-8,4
17,4,144,0.021731138229370117,7.024210280093257e-8,3
18,4,86,0.01772594451904297,9.013995327933344e-8,3
19,4,65,0.014873027801513672,6.208318703571081e-8,3
20,4,75,0.014577150344848633,6.502360871962765e-8,3
