id,xinit_1,xinit_2,xfinal_1,xfinal_2,iters,sub_iters,runtime
1,-5.0,-5.0,0.0,-4.974027078156684e-8,5,14744,0.11815190315246582
2,-4.5,-5.0,0.0,-4.3384035909413034e-8,4,9015,0.07098984718322754
3,-4.0,-5.0,0.0,-4.114932030941947e-8,4,5042,0.04188704490661621
4,-3.5,-5.0,0.0,-3.9370229506158896e-8,4,3034,0.025012969970703125
5,-3.0,-5.0,0.0,-4.0543401525443905e-8,4,2105,0.0171811580657959
6,-2.5,-5.0,0.0,-3.965085956936743e-8,4,1374,0.011922836303710938
7,-2.0,-5.0,0.0,-3.9919159692074466e-8,4,895,0.008009195327758789
8,-1.5,-5.0,0.0,-4.043758323077171e-8,4,345,0.0031490325927734375
9,-1.0,-5.0,0.0,-3.818253619170473e-8,4,364,0.0032389163970947266
10,-0.5,-5.0,0.0,-3.821592158254556e-8,4,516,0.0045108795166015625
11,0.0,-5.0,0.0,-3.9904024265144896e-8,4,797,0.007417917251586914
12,0.5,-5.0,0.0,-3.997804751389564e-8,4,1206,0.010332107543945312
13,1.0,-5.0,0.0,-4.069681046031157e-8,4,1742,0.015401124954223633
14,1.5,-5.0,0.0,-4.0631278446042e-8,4,2406,0.02096390724182129
15,2.0,-5.0,0.0,-4.045402583080717e-8,4,3045,0.026278018951416016
16,2.5,-5.0,0.0,-4.1269883869014905e-8,4,5297,0.06703996658325195
17,3.0,-5.0,0.0,-4.940900627656794e-8,4,9029,0.07166695594787598
18,3.5,-5.0,0.0,-3.5364629035568585e-8,4,3109,0.02475118637084961
19,4.0,-5.0,0.0,-3.7800421884200706e-8,4,3176,0.025064945220947266
20,4.5,-5.0,0.0,-3.5075765363762876e-8,4,3292,0.026072025299072266
21,5.0,-5.0,0.0,-3.840891163986152e-8,4,3461,0.027936935424804688
22,-5.0,-4.5,0.0,-4.998096599480417e-8,5,13501,0.1113128662109375
23,-4.5,-4.5,0.0,-4.1804676891427796e-8,4,8596,0.07403802871704102
24,-4.0,-4.5,0.0,-4.104880610694979e-8,4,4670,0.04009199142456055
25,-3.5,-4.5,0.0,-4.102064826409587e-8,4,2999,0.026576995849609375
26,-3.0,-4.5,0.0,-4.058685847285759e-8,4,2016,0.0420680046081543
27,-2.5,-4.5,0.0,-3.9765586271666806e-8,4,1287,0.009948968887329102
28,-2.0,-4.5,0.0,-4.0914818803285966e-8,4,809,0.006339073181152344
29,-1.5,-4.5,0.0,-3.9939576979735405e-8,4,302,0.0024619102478027344
