N,tol,objective,cviolation,iters,sub_iters,runtime
32,0.0001,-0.12786797685961607,0.00022460336280245093,30,25546,0.689162015914917
32,1.0e-5,-0.015537465359099584,2.7215238599520458e-5,44,51618,0.935866117477417
64,0.0001,-1.2123539140807809,0.00039476326872366026,22,43492,1.0900700092315674
64,1.0e-5,-0.12010902397501888,3.869838645342638e-5,42,176943,4.244554042816162
