id,iters,subiters,runtime,cviolation,rank
1,4,71,0.016695022583007812,1.2985018638111967e-7,2
2,4,76,0.014915943145751953,1.619848013501013e-7,3
3,4,108,0.01959991455078125,5.2240290315808124e-8,2
4,4,151,0.02069997787475586,1.6686983084213125e-7,2
5,4,61,0.013978004455566406,8.469945322886474e-8,3
6,4,60,0.014661073684692383,3.0455253430261564e-7,2
7,4,109,0.017212867736816406,7.765204657061986e-8,3
8,4,87,0.0158689022064209,5.8985537787492603e-8,3
9,4,241,0.026939868927001953,2.3550179628628598e-7,2
10,4,85,0.015836000442504883,2.0923558352592408e-7,2
11,4,69,0.01419210433959961,1.2827868278719734e-7,3
12,4,59,0.014451026916503906,8.710261489852655e-8,3
13,4,86,0.016104936599731445,8.598046186136798e-8,3
14,4,64,0.02824997901916504,6.091648430128771e-8,3
15,4,92,0.03234982490539551,1.0602226829803385e-7,3
16,4,60,0.016047000885009766,8.038314192049256e-8,3
17,6,1534,0.13004112243652344,1.2257346360122767e-7,2
18,4,82,0.02985405921936035,1.5795802621454413e-7,2
19,4,60,0.014465808868408203,4.36604095099824e-8,3
20,4,73,0.014668941497802734,6.1740099255303e-8,3
