id,iters,subiters,runtime,cviolation,rank
1,4,168,0.07422590255737305,4.939751629962075e-8,8
2,4,282,0.09567999839782715,7.07307616920616e-8,7
3,4,206,0.10211992263793945,4.093677175021071e-8,7
4,4,123,0.06872296333312988,4.722777990906479e-8,7
5,4,238,0.1024479866027832,7.519986766624243e-8,6
6,4,221,0.08530402183532715,5.810678072037945e-8,6
7,4,179,0.08860588073730469,5.170404282495156e-8,7
8,4,147,0.06834602355957031,3.890323796440498e-8,7
9,4,177,0.07941389083862305,1.1748665507127498e-7,7
10,4,147,0.06768012046813965,5.1590206551210827e-8,7
11,4,149,0.08669304847717285,6.26605398679203e-8,7
12,4,138,0.06973099708557129,5.203634678707658e-8,8
13,4,137,0.08397603034973145,4.132728292915999e-8,7
14,4,178,0.08167386054992676,6.555014797626768e-8,8
15,4,128,0.06246304512023926,4.836431188870449e-8,8
16,4,175,0.08731198310852051,9.39216198148074e-8,8
17,4,268,0.09935688972473145,9.033508874267682e-8,6
18,4,232,0.10661506652832031,5.2012520512789706e-8,7
19,4,161,0.07024908065795898,4.0255859978799435e-8,7
20,4,188,0.09531092643737793,2.8567464838147316e-8,7
